x,y,cluster
35.79985,14.6489725,3
13.897215,1.4045726,1
-11.797043,-16.143368,1
-20.728344,-32.193886,1
23.2545,15.047408,4
21.054947,-3.5164177,3
5.414651,-12.761486,2
-18.53388,-24.343666,1
9.988293,-2.918915,4
-2.8981895,44.461212,3
5.1381392,4.558283,1
26.983353,-10.538685,3
-23.352465,2.7287393,3
-28.95445,38.72593,4
-24.503923,21.173515,4
-31.518463,-10.91762,3
1.5064679,-13.720494,2
1.5655555,3.7798178,0
-8.309157,20.347689,3
23.155342,-37.685623,4
15.128706,29.718838,4
-24.765911,-20.302973,3
19.896492,-8.135073,3
3.520695,12.532911,2
-5.4251,-43.341927,4
-24.376465,-21.266386,3
-15.055598,-22.00707,3
23.998266,12.12507,4
-32.50786,31.455051,3
-7.437062,-51.491993,3
24.114042,34.773933,4
-13.329118,10.292021,4
29.462004,17.673122,4
-9.16943,14.188148,4
27.06392,-8.669124,3
-24.96913,-22.272444,2
1.7207233,-15.441343,4
35.077553,24.596521,4
23.692453,5.173635,3
19.765009,-46.95883,4
-30.980705,-26.978453,3
-18.933226,-27.592041,1
30.327076,14.142776,4
33.766743,32.713863,4
5.124368,-0.19867295,3
3.1377785,-45.974346,3
41.707863,-1.6074976,3
-35.87496,-15.017381,0
-2.337855,16.790295,2
-19.755243,10.976081,2
2.6427262,-2.0084414,3
34.526978,21.60444,4
-27.644167,34.200333,4
13.424749,-43.19687,4
-9.514618,10.029644,4
1.6251682,9.330521,3
-30.452215,-33.612328,0
-42.535534,11.323411,4
14.688551,-0.18565226,1
-3.5483003,16.687616,2
-35.013226,-13.546447,4
40.59561,27.141994,4
-10.883989,46.511917,2
-38.03167,-26.868128,0
-30.305477,18.007092,1
-8.400403,49.057697,1
-8.223678,13.7490225,4
-8.012922,-5.8370476,3
18.527523,-13.24124,3
22.01162,3.1878598,3
13.901059,-7.877246,4
7.3634753,-28.036955,1
-26.444447,-31.342196,3
-17.97366,-20.975012,3
26.624352,13.099182,4
26.434456,13.716613,4
-36.159298,13.474745,1
-1.6767204,-4.344477,3
-48.54992,15.026977,1
32.91263,22.465208,4
-11.143522,31.632824,4
-7.8025784,36.314003,4
-13.154609,-0.30804572,2
2.7535489,2.9023976,3
-22.504606,-15.305595,1
13.848831,37.426212,3
-19.564486,-10.662719,1
-2.7521467,-4.8388186,1
14.096831,8.458588,3
-22.555954,5.074089,3
-12.761773,-44.084637,0
41.680695,-13.429908,0
10.22832,-28.032776,3
26.842495,11.13491,4
6.7640634,34.300034,3
8.1768675,14.125527,4
-35.157894,-4.8137865,2
37.33868,30.549395,4
2.5225773,18.721193,2
24.1008,-10.825325,3
-27.324398,19.66061,4
32.300755,-17.391562,3
4.49563,13.7339325,4
-11.270927,17.800106,1
-5.6023307,44.697117,2
24.315817,-10.781138,3
-9.392607,7.3697047,4
44.645424,-24.308882,1
10.115891,22.351791,3
11.355948,-0.158845,4
-35.28422,-4.5259523,3
-10.747273,4.2847033,3
20.192076,-4.1154785,3
-34.308094,-23.560669,3
40.45257,-18.912033,2
